name,country,lat,lon,population,population_million,P0,dP,dP_lo,dP_hi,p_two_zero_aware,zero_exact_dP,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware,static_counterfactual_tier,observed_tier_bh,observed_tier_by,direction_side,ab_followup_bh,ab_followup_by,detectable_update_bh,detectable_update_by,screening_tier,policy_action,susceptibility_proxy_count
Ziyang,CN,30.12108,104.64811,905729,0.905729,0.1200477239676342,0.0025591202315673,0.0007583093051363,0.0045653707451619,0.0004999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Santo Domingo,DO,18.47186,-69.89232,2201941,2.201941,0.3070350909936708,0.0024767920648013,0.0006809021030615,0.0046060444759537,0.002,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Baoshan,CN,31.40845,121.48956,2265900,2.2659,0.1281779072849716,0.0024670626082674,0.0006762688745617,0.0044287847171819,0.002,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Barranquilla,CO,10.96854,-74.78132,1206319,1.206319,0.1310547097035396,0.0024053116310744,0.0004476608619669,0.0046132093407682,0.0184999999999999,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Cebu City,PH,10.31672,123.89071,965332,0.965332,0.2835265651794575,0.002276329626615,0.002276329626615,0.002276329626615,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,4
Seoul,KR,37.566,126.9784,10349312,10.349312,0.1155377233384598,0.0021926419501853,0.0007829412458853,0.0037572449414291,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Weinan,CN,34.50355,109.50891,1199290,1.19929,0.1576864338909852,0.002007256314618,0.000599620429505,0.0036432630126096,0.0004999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Alexandria,EG,31.20176,29.91582,5263542,5.263542,0.2299702968344735,0.0019576794418436,0.0005205754538679,0.0035887035945086,0.0015,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Sapporo,JP,43.06667,141.35,1973832,1.973832,0.1197325813076629,0.001933859674291,0.0004334499423983,0.003525010037273,0.01,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Auckland,NZ,-36.84853,174.76349,1547200,1.5472,0.101268245898653,0.0019078322068631,0.0006904732473526,0.0032412682258164,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Xianyang,CN,34.33778,108.70261,1034081,1.034081,0.1452936253862427,0.0018758121915692,0.0006174797351954,0.0033192355079055,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Hamamatsu,JP,34.7,137.73333,791707,0.791707,0.3491192316542594,0.0018496808038376,0.0005196211928647,0.0018496808038376,0.0044999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Karachi,PK,24.8608,67.0104,11624219,11.624219,0.1435331805189991,0.0018106153343679,0.0004986582433334,0.0032892303975454,0.0004999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Shanghai,CN,31.22222,121.45806,24874500,24.8745,0.2416987034188102,0.0017738693845824,0.0011479908468059,0.0017738693845824,0.0009999999999998,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Tainan,TW,22.99083,120.21333,1856642,1.856642,0.4951055488073359,0.001610778367505,0.0003473925302693,0.0031410837688323,0.012,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Kitakyushu,JP,33.85181,130.85034,940978,0.940978,0.1356510418815042,0.0015969601989614,0.0003990257258993,0.0019178033808634,0.0024999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Lanzhou,CN,36.05701,103.83987,3000000,3.0,0.106565346687678,0.0015712382400322,0.0005254058927755,0.0026973148455408,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Hiroshima,JP,34.4,132.45,1200754,1.200754,0.4147114489219935,0.0015640616549372,0.0002325757333331,0.0031389375482984,0.032,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Neijiang,CN,29.58354,105.06216,1251095,1.251095,0.0494244737783714,0.0014456937895842,0.0004341375853454,0.0025665249670705,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,1.2,0.191695307122232,0.0014016720464758,0.0002620946555143,0.0027149906755611,0.016,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Port-au-Prince,HT,18.54349,-72.33881,1234742,1.234742,0.1923156002357485,0.0013811960865968,0.0003490050206672,0.0025979786018036,0.0055,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Hyderabad,PK,25.39689,68.37718,1921275,1.921275,0.0616979801656388,0.0013306612472312,0.0003534559071621,0.0024121508614403,0.0015,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Zhengzhou,CN,34.75778,113.64861,4253913,4.253913,0.0249693860924796,0.0012674802393856,0.0003708182977496,0.0015282868465959,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Anyang,CN,36.096,114.38278,1146839,1.146839,0.0127701912005034,0.0012147377205101,0.0004180393231679,0.0021176154165551,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Fukuoka,JP,33.6,130.41667,1612392,1.612392,0.5548847109336004,0.0011292210388418,0.0008565886039953,0.0011292210388418,0.0035,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,4
Quezon City,PH,14.6488,121.0509,3084270,3.08427,0.1028732344892735,0.0010393864693847,0.0001278362339753,0.002107218975152,0.0409999999999999,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Chongqing,CN,29.56026,106.55771,7457599,7.457599,0.0527023509040116,0.0009810779997386,0.0001384336500808,0.0018902126279857,0.0329999999999999,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
