city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,dP,fdr_sig,gfz_grid_lat,gfz_grid_lon,gfz_nearest_finite_grid_distance_km,gfz_tws_cm_yr,gfz_tws_p,gfz_tws_n_months,gfz_leakage_corrected_tws_cm_yr,gfz_leakage_corrected_p,gfz_leakage_corrected_n_months,gfz_dP_sy010,gfz_leakage_corrected_dP_sy010,csr_sign,gfz_sign,gfz_leakage_corrected_sign,csr_gfz_sign_match,csr_gfz_leakage_corrected_sign_match,gfz_material_sy010,gfz_targeted_sy010,gfz_leakage_corrected_material_sy010,gfz_leakage_corrected_targeted_sy010
49,Cartagena,CO,10.39817,-75.49328,914552,0.0708730299999999,10.849164568551204,0.6294,0.0026785270490979,True,9.5,284.5,99.87479701943775,0.8673193436191671,0.0018223488685283284,100,1.8129932126031434,0.01701352165304333,100,0.0037012796993353136,0.007822406114155717,1,1,1,True,True,False,False,False,True
50,Virār,IN,19.45591,72.81136,1222390,0.1198278828077522,0.5951018539711868,1.4173,0.0025991780956606,True,19.5,73.5,72.35730306471558,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.0025991780956606536,0.0025991780956606536,1,1,1,True,True,False,False,False,False
51,Mandalay,MM,21.97473,96.08359,1208099,0.3333079,4.516670481422182,0.3728,0.0025833231311815,False,21.5,96.5,0.0,0.09702321546418535,0.8581626999031418,100,-1.7013486612708522,0.03821190124494426,100,0.0006710591363822127,-0.011620789173319657,1,1,-1,True,False,False,False,True,True
52,Ziyang,CN,30.12108,104.64811,905729,0.155723199999444,13.09224078736554,0.7209,0.0025591202315673,True,30.5,104.5,0.0,0.8090701606901426,0.00014911383475336269,100,0.2642054968382687,0.646346772649319,100,0.002875315959072519,0.0009325036244602625,1,1,1,True,True,False,False,False,False
53,Santo Domingo,DO,18.47186,-69.89232,2201941,0.4312265999999539,3.8147554741741487,0.3488,0.0024767920648013,True,18.5,290.5,0.0,0.05136398580117284,0.6761047494752794,100,-0.2504595677718623,0.6569759705248038,100,0.0003640369479558925,-0.0017716593394114244,1,1,-1,True,False,False,False,False,False
54,Baoshan,CN,31.40845,121.48956,2265900,0.0563865307407588,3.418020904860043,0.6576,0.0024670626082674,True,31.5,121.5,0.0,0.21687077299127308,0.16718504423176556,100,-0.42229952763216927,0.3715311523348765,100,0.0008091930826850668,-0.0015632694618464282,1,1,-1,True,False,False,False,False,False
55,Barranquilla,CO,10.96854,-74.78132,1206319,0.09359839,5.737392233157891,0.6294,0.0024053116310744,True,10.5,285.5,0.0,0.8599180046466689,0.00039861449378467807,100,1.340877159432213,0.055099363106661095,100,0.0032955584216506073,0.005169148723622341,1,1,1,True,True,False,False,False,True
56,Cebu City,PH,10.31672,123.89071,965332,0.3347104821106495,0.3356984817273769,0.9923,0.002276329626615,True,10.5,123.5,0.0,-0.05155997865889258,0.704864215078664,100,-1.241095715073817,0.011191745547587941,100,-0.00034864971860720795,-0.008319820378951681,1,-1,-1,False,False,False,False,False,True
57,Surabaya,ID,-7.24917,112.75083,2874314,0.1756715000089241,2.3346303501945727,0.2774,0.0022082061862322,False,-7.5,112.5,0.0,0.10159958270939563,0.5203319519684303,100,-1.2661679778749337,0.02612811451706466,100,0.0008082742470346682,-0.010023216447186678,1,1,-1,True,False,False,False,True,True
58,Seoul,KR,37.566,126.9784,10349312,0.1291627050768389,9.628442816815491,0.6391,0.0021926419501853,True,37.5,126.5,0.0,0.46264333856135315,0.009465016560190016,100,-2.4450705335138516,1.055068339612304e-05,100,0.0015836711876538873,-0.008063429760817531,1,1,-1,True,False,False,False,False,True
59,Weinan,CN,34.50355,109.50891,1199290,0.1088599,1.1139085984588633,0.4515,0.002007256314618,True,34.5,109.5,0.0,0.6614471966947317,0.004707492863763907,100,2.5813920934294066,0.0003814450561940897,100,0.0029476558601258807,0.004989548450551828,1,1,1,True,True,False,False,False,False
60,Alexandria,EG,31.20176,29.91582,5263542,0.106489699999422,6.28671702143896,0.331,0.0019576794418436,True,30.5,29.5,87.548093461353,0.1408546078118241,0.1570808772089735,100,0.005354890861631484,0.9898955912962465,100,0.0008316567730687341,3.1578754158739786e-05,1,1,1,True,True,False,False,False,False
61,Sapporo,JP,43.06667,141.35,1973832,0.1806720360283885,0.9918364232852924,0.5472,0.001933859674291,True,43.5,141.5,0.0,0.784403249071103,3.76324355409136e-05,100,1.6852812169130316,0.0015577174483280133,100,0.002780487765793274,0.003525010037273027,1,1,1,True,True,False,False,False,False
62,Nantong,CN,32.03028,120.87472,2273326,0.0583333852838798,3.006027313649213,0.3838,0.0019166321843848,True,32.5,120.5,0.0,0.4104217192714907,0.011271082369983053,100,0.11106653299124566,0.8099425655227955,100,0.0020501514307415536,0.0005530544622897038,1,1,1,True,True,False,False,False,False
63,Auckland,NZ,-36.84853,174.76349,1547200,0.1584837125632816,27.13054093232625,0.6243,0.0019078322068631,True,-37.5,175.5,97.49702456167354,0.2733853243214412,0.02618718119710635,100,0.5048012365418157,0.3033037562913008,100,0.0008315706038045378,0.0015402046776476636,1,1,1,True,True,False,False,False,False
